,Learners,Learn rate,Depth,F1 Macro Score
421,7.0,21.0,4.0,0.6326735268836379
422,7.0,21.0,5.0,0.634164772310505
423,7.0,21.0,6.0,0.6273755485862742
424,7.0,21.0,7.0,0.662707534677477
425,7.0,21.0,8.0,0.6817893361339025
426,7.0,21.0,9.0,0.6807518954040386
427,7.0,23.0,3.0,0.5943665139462889
428,7.0,23.0,4.0,0.6150691989495214
429,7.0,23.0,5.0,0.6404284425789295
430,7.0,23.0,6.0,0.6231460748116853
431,7.0,23.0,7.0,0.6533506039625425
432,7.0,23.0,8.0,0.671171162113543
433,7.0,23.0,9.0,0.6614753455944096
434,7.0,25.0,3.0,0.6042149415635015
435,7.0,25.0,4.0,0.5907174544345057
436,7.0,25.0,5.0,0.6427328897017957
437,7.0,25.0,6.0,0.6343170645779341
438,7.0,25.0,7.0,0.6862923386966628
439,7.0,25.0,8.0,0.687590880825801
440,7.0,25.0,9.0,0.6702561427028202
441,7.0,27.0,3.0,0.5750527293436382
442,7.0,27.0,4.0,0.6353697837879386
443,7.0,27.0,5.0,0.6332849368787647
444,7.0,27.0,6.0,0.6205120333354726
445,7.0,27.0,7.0,0.6699202525782958
446,7.0,27.0,8.0,0.6731930923502458
447,7.0,27.0,9.0,0.6783096191598325
448,7.0,29.0,3.0,0.6186699126634219
449,7.0,29.0,4.0,0.5845792167322842
450,7.0,29.0,5.0,0.6240490706749947
451,7.0,29.0,6.0,0.6435424060747336
